  4 Non Blondes -  Whats Up?
  Desree -  You Gotta Be
  Desree -  You Gotta Be
  Dido -  Here With Me
  Dido -  Here With Me
  Dido -  Here With Me
  Dido -  Here With Me
  Dido -  Here With Me (Lukas Burton Mix)
  Dido -  Here With Me (Lukas Burton Mix)
  Dido -  Here With Me (Lukas Burton Mix)
  Dido -  Life For Rent
  Dido -  Life For Rent
  Dido -  Life For Rent
  Dido -  Life For Rent
  Dido -  Life For Rent
  Dido -  Life For Rent
  Dido -  No Freedom
  Dido -  No Freedom
  Dido -  Thank You
  Dido -  Thank You
  Dido -  White Flag
  Dido -  White Flag
  Dire Straits -  Walk Of Life
  Dire Straits -  Walk Of Life
  Dire Straits -  Walk Of Life
  Dire Straits -  Walk Of Life
  Don McLean -  Vincent
  Don McLean -  Vincent
  Donna Lewis -  I Love You Always Forever
  Dons -  Dievins
  Dons -  Dievins
  Dons -  Es Naktu Majas
  Dons -  Es Naktu Majas
  Dons -  Es Naktu Majas
  Dons -  Turists
  Dons Feat. Ozols -  Salauzta Sirds
  Dons Feat. Ozols -  Salauzta Sirds
  Dons Feat. Ozols -  Salauzta Sirds
  Duran Duran -  Come Undone
  Duran Duran -  Come Undone
  Duran Duran -  Come Undone
  Duran Duran -  Ordinary World
  Duran Duran -  Ordinary World
  Duran Duran -  Perfect Day
  Duran Duran -  Perfect Day
  Duran Duran -  Perfect Day
  Duran Duran -  Perfect Day
  Duran Duran -  Perfect Day
  Dwight Loop -  Temperate Climate
  Dālderi -  Nepareizā Dziesma
  Eagle-Eye Cherry -  Save Tonight
  Eagles -  Hotel California
  Eagles -  Hotel California
  East 17 -  Stay Another Day
  East 17 -  Stay Another Day
  Ed Sheeran -  Perfect
  Ed Sheeran -  Photograph
  Ed Sheeran -  Photograph
  Ed Sheeran -  Photograph
  Ed Sheeran -  Photograph
  Ed Sheeran -  The A Team
  Ed Sheeran -  Thinking Out Loud
  Eddy Grant -  Gimme Hope Joanna
  Edgars Silacerps -  Kad Es Tev Peksni Ienacu Prata
  Edgars Silacerps -  Kad Es Tev Peksni Ienacu Prata
  Edward Maya & Vika Jigulina -  Stereo Love
  Edward Maya & Vika Jigulina -  Stereo Love
  Edward Maya & Vika Jigulina -  Stereo Love
  Edwyn Collins -  A Girl Like You
  Electric Light Orchestra -  So Serious
  Elevation Vs. Grube & Hovsepian -  City Of Angels (Deep Mix)
  Ellie Goulding -  Love Me Like You Do
  Elsiris Orion -  My B.I. (Brilliant Insanity)
  Elton John -  Can You Feel The Love Tonight
  Elton John -  Candle In The Wind
  Elton John -  Circle Of Life
  Elton John -  Circle Of Life
  Elton John -  Nikita
  Elton John -  Sorry Seems To Be The Hardest Word
  Elton John -  Sorry Seems To Be The Hardest Word
  Elvis Presley -  Good Luck Charm
  Empire Of The Sun -  We Are The People
  Enigma -  Return To Innocence
  Enigma -  Return To Innocence
  Enigma -  Return To Innocence
  Enigma -  Sadeness Part 1
  Enigma -  Sadeness Part 1
