  4 Non Blondes -  Whats Up?
  Pet Shop Boys -  Being Boring
  Pet Shop Boys -  I Started A Joke
  Pet Shop Boys -  Its A Sin
  Pet Shop Boys -  Rent
  Pet Shop Boys -  Se A Vida E (Thats The Way Life Is)
  Pet Shop Boys -  So Hard
  Pet Shop Boys -  Suburbia
  Peter Gabriel -  Dont Give Up
  Phil Collins -  Cant Stop Loving You
  Phil Collins -  Cant Turn Back The Years
  Phil Collins -  Everyday
  Phil Collins -  One More Night
  Phil Collins -  True Colors
  Phil Collins -  Two Hearts
  Phil Collins -  You Cant Hurry Love
  Phil Collins -  Youll Be In My Heart
  Philip Glass & Tenzin Choegyal -  Mad Rush (Live at St. John the Divine)
  Philip Oakey & Giorgio Moroder -  Together In Electric Dreams
  Pierre Bachelet -  Emmanuelle (French Version)
  Pink Floyd -  Another Brick In The Wall (Part 2)
  Portugal. The Man -  Feel It Still
  Prata Vetra -  Viss Ir Tieši Ta Ka Tu Velies
  Prata Vetra -  Ziema
  Precious Wilson -  Raising My Family
  Prego -  Melanholiskais Valsis
  Pretenders -  Dont Get Me Wrong
  Prince -  Purple Rain
  Prāta Vētra -  Aiz Vēja Ģeneratora
  Prāta Vētra -  Es Gribu
  Prāta Vētra -  Kaislības
  Prāta Vētra -  Kur Milzu Kalni Liekas Mazi
  Prāta Vētra -  Lec
  Prāta Vētra -  Lidmašīnas
  Prāta Vētra -  Pilots Tims
